Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1999-11-10,21.569445,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-11,20.354166,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-12,19.46875,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-13,17.427084,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-14,17.59375,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-15,17.302084,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-16,17.770834,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-17,17.416666,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-18,17.6875,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-19,18.1875,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-20,18.53125,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-21,19.46875,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-22,17.947916,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-23,17.125,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-24,17.505262,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-25,20.34375,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-26,52.6875,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-27,24.09375,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-28,18.614584,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-29,18.510416,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-11-30,18.177084,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-01,17.958334,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-02,18.40625,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-03,19.260416,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-04,18.875,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-05,18.541666,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-06,55.375,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-07,28.489584,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-08,22.447916,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-09,20.291666,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-10,28.229166,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-11,24.010416,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-12,21.09375,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-13,46.5,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-14,59.708332,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-15,28.9375,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-16,25.083334,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-17,23.21875,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-18,22.760416,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-19,33.020832,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-20,30.9375,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-21,121.302086,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-22,119.770836,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-23,54.427082,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-24,44.114582,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-25,39.729168,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-26,36.96875,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-27,35.90625,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-28,34.895832,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-29,34.375,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-30,33.90625,streamflow,2418230,ft3/s,"['A', '[91]']",0
1999-12-31,32.75,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-01,33.40625,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-02,32.354168,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-03,32.322918,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-04,36.25,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-05,37.989582,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-06,32.75,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-07,31.635416,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-08,31.364584,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-09,33.9375,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-10,903.3958,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-11,490.70834,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-12,169.08333,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-13,94.635414,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-14,71.822914,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-15,59.552082,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-16,53.625,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-17,52.677082,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-18,53.520832,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-19,49.364582,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-20,49.375,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-21,47.302082,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-22,42.71875,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-23,65.666664,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-24,184.09575,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-25,132.66667,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-26,88.510414,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-27,72.270836,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-28,65.9375,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-29,89.802086,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-30,140.11458,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-01-31,112.854164,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-01,85.229164,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-02,72.020836,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-03,65.895836,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-04,61.0,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-05,56.791668,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-06,54.833332,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-07,53.354168,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-08,51.921875,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-09,49.6875,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-10,47.927082,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-11,47.385418,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-12,53.479168,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-13,53.666668,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-14,71.59375,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-15,61.78125,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-16,55.635418,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-17,52.052082,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-18,51.322918,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-19,51.270832,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-20,61.291668,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-21,53.197918,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-22,50.25,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-23,47.760418,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-24,47.239582,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-25,46.6875,streamflow,2418230,ft3/s,"['A', '[91]']",0
2000-02-26,45.65625,streamflow,2418230,ft3/s,"['A', '[91]']",0
