Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1990-08-11,0.32105264,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-12,0.30416667,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-13,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-14,0.045833334,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-15,3.4041667,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-16,1.4916667,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-17,2.2041667,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-18,4.2708335,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-19,6.5958333,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-20,6.6125,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-21,5.741667,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-22,4.7916665,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-23,3.8916667,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-24,3.1291666,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-25,2.5,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-26,1.9291667,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-27,1.4708333,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-28,1.1583334,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-29,1.0833334,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-30,0.93333334,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-08-31,1.0625,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-01,1.1083333,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-02,0.84791666,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-03,0.6354167,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-04,0.40625,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-05,0.21875,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-06,0.075,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-07,0.020833334,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-08,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-09,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-10,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-11,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-12,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-13,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-14,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-15,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-16,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-17,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-18,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-19,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-20,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-21,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-22,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-23,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-24,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-25,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-26,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-27,0.0,streamflow,2228500,ft3/s,"['A', '[91]']",0
1990-09-28,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-09-29,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-09-30,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-01,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-02,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-03,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-04,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-05,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-06,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-07,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-08,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-09,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-10,0.108333334,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-11,0.22083333,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-12,2.4458334,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-13,7.4083333,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-14,5.2083335,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-15,4.1666665,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-16,4.4416666,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-17,5.1583333,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-18,5.475,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-19,5.4166665,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-20,4.6833334,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-21,4.1666665,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-22,4.8083334,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-23,4.85,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-24,4.1,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-25,3.3208334,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-26,2.4625,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-27,1.8916667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-28,1.5166667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-29,1.1666666,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-30,0.9083333,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-10-31,0.7729167,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-01,0.64166665,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-02,0.49791667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-03,0.39375,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-04,0.29166666,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-05,0.21875,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-06,0.125,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-07,0.016666668,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-08,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-09,0.04375,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-10,0.59375,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-11,0.925,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-12,1.7375,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-13,2.3166666,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-14,1.9291667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-15,2.2666667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-16,2.7,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-17,2.6875,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-18,2.5583334,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-19,2.3833334,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-20,2.3,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-21,2.0875,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-22,1.7375,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-23,1.4333333,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-24,1.2333333,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-25,1.0354167,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-26,0.8666667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-27,0.74791664,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-28,0.6666666,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-29,0.56666666,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-11-30,0.42083332,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-01,0.27291667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-02,0.1875,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-03,0.11666667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-04,0.10416667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-05,0.114583336,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-06,0.15,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-07,0.22291666,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-08,0.47916666,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-09,0.57500005,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-10,0.6,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-11,0.6,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-12,0.48958334,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-13,0.0,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-14,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-15,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-16,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-17,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-18,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-19,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-20,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-21,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-22,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-23,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-24,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-25,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-26,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-27,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-28,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-29,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-30,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1990-12-31,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-01,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-02,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-03,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-04,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-05,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-06,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-07,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-08,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-09,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-10,,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-11,0.28947368,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-12,3.6333334,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-13,4.741667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-14,3.1000001,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-15,2.6125,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-16,3.3916667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-17,5.9333334,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-18,5.225,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-19,5.775,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-20,99.416664,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-21,123.166664,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-22,123.458336,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-23,105.729164,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-24,89.041664,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-25,169.16667,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-26,230.83333,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-27,220.33333,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-28,291.91666,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-29,546.375,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-30,663.0833,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-01-31,701.25,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-02-01,685.9167,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-02-02,591.7917,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-02-03,499.375,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-02-04,426.70834,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-02-05,363.41666,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-02-06,307.20834,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-02-07,278.5,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-02-08,273.20834,streamflow,2228500,ft3/s,"['A', '[90]']",0
1991-02-09,244.29167,streamflow,2228500,ft3/s,"['A', '[90]']",0
