Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1995-07-28,61.94737,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-07-29,59.916668,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-07-30,67.625,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-07-31,56.208332,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-01,49.5,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-02,39.083332,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-03,32.375,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-04,29.708334,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-05,36.375,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-06,43.75,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-07,42.791668,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-08,35.208332,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-09,25.125,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-10,18.333334,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-11,13.875,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-12,11.25,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-13,9.183333,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-14,7.9,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-15,6.9666667,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-16,6.25,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-17,5.9833336,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-18,5.8,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-19,5.6,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-20,6.45,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-21,6.0333333,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-22,5.9,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-23,5.666667,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-24,5.7333336,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-25,5.125,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-26,5.7166667,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-27,5.8,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-28,5.6000004,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-29,5.4,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-30,5.1,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-08-31,4.8666663,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-01,4.75,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-02,4.4625,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-03,4.2,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-04,4.0625,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-05,3.8625,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-06,3.8374999,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-07,3.8,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-08,3.8,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-09,3.875,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-10,3.8125,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-11,3.65,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-12,3.5,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-13,3.7791667,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-14,4.7374997,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-15,5.2791667,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-16,4.4,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-17,4.729167,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-18,5.1041665,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-19,4.85,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-20,4.7,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-21,4.4625,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-22,4.4,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-23,4.375,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-24,4.125,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-25,4.2375,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-26,4.4875,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-27,4.6375,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-28,4.7,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-29,4.5875,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-09-30,4.4,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-01,4.25,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-02,4.2375,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-03,4.0875,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-04,4.625,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-05,5.9,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-06,6.65,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-07,6.333333,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-08,5.8166666,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-09,5.616667,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-10,5.4,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-11,5.7000003,streamflow,2354500,ft3/s,"['A', '[91]']",0
1995-10-12,6.8791666,streamflow,2354500,ft3/s,"['A', '[91]']",0
