Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1999-05-01,760.1447,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-02,505.59375,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-03,360.0,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-04,267.7604,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-05,253.88542,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-06,4609.3647,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-07,3012.0833,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-08,1094.1354,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-09,582.1458,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-10,372.08334,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-11,276.89584,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-12,211.16667,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-13,315.1875,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-14,519.38544,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-15,473.64584,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-16,299.54166,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-17,206.19792,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-18,152.10417,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-19,159.63542,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-20,144.0,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-21,106.03125,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-22,80.875,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-23,72.59375,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-24,91.870834,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-25,158.375,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-26,109.614586,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-27,78.729164,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-28,60.760418,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-29,48.666668,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-30,40.6875,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-05-31,33.958332,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-06-01,28.708334,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-06-02,25.322916,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-06-03,32.552082,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-06-04,40.510418,streamflow,3539600,ft3/s,"['A', '[91]']",0
1999-06-05,32.760418,streamflow,3539600,ft3/s,"['A', '[91]']",0
